Feature;FisherScore
j4;0.3062224399804012
p3;0.2710003871039097
p1p3;0.21069580676487326
j2p3;0.19283954764304104
j2p1p3;0.18287732059034914
a4;0.18258536360465893
i4j4p1;0.17143856143856173
j4p1;0.1383444280078893
i4l8o4;0.1380501996794401
a4i4;0.13416258895800598
a4l8;0.1303350769464028
i4o4;0.11734952266302015
a4l8o4;0.08110518107096105
i4p1;0.08017305403233199
j2o4;0.07758604360426564
i4j2;0.05967661984587548
i4j2j4p1;0.05807965617725257
a4i4o4;0.04315882447406457
i4j4;0.042597018073206254
j2j4p1;0.04177219052268649
j2j4;0.02311155917807843
i4j2j4o4;0.022063126600486146
j4l8;0.020440674800454917
j2p1;0.02043626776327788
i4l8;0.016719144447561066
