Feature;FisherScore
p3;0.22796276194703027
j2p3;0.15615701010511385
a4;0.1437879101824489
p3p1;0.14260235806765667
o4j2;0.14029207928299545
l8a4;0.13240461191013914
o4i4;0.07655160880441775
j2p3p1;0.06752241955336749
p3j2;0.06086316075330111
i4a4;0.054672803030966874
a4o4;0.04925677645001448
j2p1;0.04327757562963704
p1j2;0.030581181037670806
o4;0.02676733013040494
l8p1;0.02280589746254696
a4l8;0.02018133423388172
a4i4;0.01782558035466225
i4j4p1;0.014356730960429555
i4j4j2;0.01111469340914779
i4o4;0.00797230511582
o4l8;0.005569041839211766
p1;0.005387642810744717
i4;0.003064339545041175
