Feature;FisherScore
p3;0.22796276194703027
j2p3;0.15615701010511385
a4;0.1437879101824489
p3p1;0.14260235806765667
o4j2;0.14029207928299545
l8a4;0.13240461191013914
i4l8a4;0.12567116440563564
j4;0.10854112134686444
j2o4j2;0.08584005869405723
i4l8a4i4;0.08584005869405723
p1o4;0.079299434852572
o4i4;0.07655160880441775
j2p3p1;0.06752241955336749
p3j2;0.06086316075330111
j4i4;0.05541140517788154
a4o4l8o4j4p1;0.05531914893617021
o4j4p1i4;0.05531914893617021
j2p1i4j4;0.05531914893617021
l8a4o4a4l8;0.05531914893617021
j4l8p1;0.05531914893617021
j2p1i4j4p1;0.05531914893617021
j2p1o4;0.05531914893617021
i4a4;0.054672803030966874
l8j4i4;0.05456232118336998
l8a4i4a4;0.054562321183369976
p1p3;0.049912014077747556
a4o4;0.04925677645001448
a4i4o4;0.04610987615115909
p1i4j4;0.04521629480459602
j2o4;0.04521629480459601
j2p1;0.04327757562963704
l8i4;0.036893986464927975
j4p1;0.03426778155751368
i4p1;0.03350029869950827
p1j2;0.030581181037670806
i4o4j4;0.03040371489762014
a4j4p1;0.029121597527635785
o4l8o4j4p1;0.029121597527635778
o4;0.02676733013040494
j4j2;0.024275263994859443
